# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra_str:         RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra:             RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec_str:        Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec:            Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_optmag:      Optical Magnitude [mag],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_optband:     Optical Magnitude Band,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_mnum:        Number of Moons in System,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_rade,pl_mnum
1,11 Com,b,1,326.03,1.29,0.231,,19.4,Msini,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,4.74,V (Johnson),4742,2.7,19,,0
2,11 UMi,b,1,516.22,1.54,0.08,,10.5,Msini,,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,5.016,V (Johnson),4340,1.8,24.08,,0
3,14 And,b,1,185.84,0.83,0,,4.8,Msini,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,,,4813,2.2,11,,0
4,14 Her,b,1,1773.4,2.77,0.369,,4.64,Msini,,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,6.61,V (Johnson),5311,0.9,,,0
5,16 Cyg B,b,1,798.5,1.681,0.681,,1.68,Msini,,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.25,V (Johnson),5674,0.99,,,0
6,18 Del,b,1,993.3,2.6,0.08,,10.3,Msini,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,,,4979,2.3,8.5,,0
7,1RXS J160929.1-210524,b,1,,330,,,8,Mass,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,,,4060,0.85,,,0
8,24 Sex,b,2,452.8,1.333,0.09,,1.99,Msini,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,6.441,V (Johnson),5098,1.54,4.9,,0
9,24 Sex,c,2,883,2.08,0.29,,0.86,Msini,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,6.441,V (Johnson),5098,1.54,4.9,,0
10,2MASS J01225093-2439505,b,1,,52,,,24.5,Mass,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,14.24,V (Johnson),3530,0.4,,,0
11,2MASS J02192210-3925225,b,1,,156,,,13.9,Mass,1.44,,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,,,3064,0.11,0.28,16.141,0
12,2MASS J04414489+2301513,b,1,,15,,,7.5,Mass,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,,0.02,,,0
13,2MASS J12073346-3932539,b,1,,46,,,4,Mass,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,20.15,V (Johnson),,0.02,,,0
14,2MASS J19383260+4603591,b,1,416,0.92,,,1.9,Mass,,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,12.264,Kepler-band,,0.48,,,0
15,2MASS J21402931+1625183 A,b,1,7336.5,,0.26,46.2,20.95,Mass,0.92,,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,,,2300,0.08,0.12,10.31,0
16,2MASS J22362452+4751425,b,1,,230,,,12.5,Mass,,,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,12.51,V (Johnson),4045,0.6,,,0
17,30 Ari B,b,1,335.1,0.995,0.289,,9.88,Msini,,,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,,,6300,1.16,1.13,,0
18,4 UMa,b,1,269.3,0.87,0.432,,7.1,Msini,,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.61,V (Johnson),4415,1.23,18.11,,0
19,42 Dra,b,1,479.1,1.19,0.38,,3.88,Msini,,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.82,V (Johnson),4200,0.98,22.03,,0
20,47 UMa,b,3,1078,2.1,0.032,,2.53,Msini,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.05,V (Johnson),5892,1.03,1.23,,0
21,47 UMa,c,3,2391,3.6,0.098,,0.54,Msini,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.05,V (Johnson),5892,1.03,1.23,,0
22,47 UMa,d,3,14002,11.6,0.16,,1.64,Msini,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.05,V (Johnson),5892,1.03,1.23,,0
23,51 Eri,b,1,,13.2,,,2,Mass,,,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,5.23,V (Johnson),,1.75,,,0
24,51 Peg,b,1,4.230785,0.0527,0.013,,0.472,Msini,,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,5.5,V (Johnson),5793,1.12,1.2,,0
25,55 Cnc,b,5,14.65152,0.115227,0.0034,90,0.8306,Mass,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,,0
26,55 Cnc,c,5,44.4175,0.241376,0.02,90,0.1714,Mass,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,,0
27,55 Cnc,d,5,4825,5.503,0.019,90,3.878,Mass,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,,0
28,55 Cnc,e,5,0.736539,0.01544,,83.3,0.02542,Mass,0.17,6.4,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,1.91,0
29,55 Cnc,f,5,262,0.788,0.305,90,0.141,Mass,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,,0
30,6 Lyn,b,1,874.774,2.18,0.125,,2.21,Msini,,,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,,,4978,1.7,5.2,,0
31,61 Vir,b,3,4.215,0.050201,0.12,,0.016,Msini,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.74,V (Johnson),5577,0.94,0.96,,0
32,61 Vir,c,3,38.021,0.2175,0.14,,0.057,Msini,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.74,V (Johnson),5577,0.94,0.96,,0
33,61 Vir,d,3,123.01,0.476,0.35,,0.072,Msini,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.74,V (Johnson),5577,0.94,0.96,,0
34,7 CMa,b,1,796,1.93,0.22,,2.46,Msini,,,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,3.92,V (Johnson),4792,1.52,2.3,,0
35,70 Vir,b,1,116.6926,0.481,0.399,,7.4,Msini,,,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,4.98,V (Johnson),5439,1.09,1.94,,0
36,75 Cet,b,1,691.9,2.1,0.117,,3,Msini,,,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,5.35,V (Johnson),4846,2.49,10.5,,0
37,8 UMi,b,1,93.4,0.49,0.06,,1.5,Msini,,,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,6.83,V (Johnson),4847.4,1.8,9.9,,0
38,81 Cet,b,1,952.7,2.5,0.206,,5.3,Msini,,,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,5.65,V (Johnson),4785,2.4,11,,0
39,91 Aqr,b,1,181.4,0.7,0.027,,3.2,Msini,,,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,4.25,V (Johnson),4665,1.4,11,,0
40,AB Pic,b,1,,260,,,13.5,Mass,,,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,9.128,V (Johnson),,,,,0
41,BD+03 2562,b,1,481.9,1.3,0.2,,6.4,Msini,,,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618,9.58,V (Johnson),4095,1.14,32.35,,0
42,BD+14 4559,b,1,268.94,0.777,0.29,,1.47,Msini,,,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,9.63,V (Johnson),5008,0.86,0.95,,0
43,BD+15 2375,b,1,153.22,0.576,0.001,,1.061,Msini,,,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,10.31,V (Johnson),4649,1.08,8.95,,0
44,BD+15 2940,b,1,137.48,0.539,0.26,,1.11,Msini,,,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,175.44,9.046,V (Johnson),4796,1.1,14.7,,0
